StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,NAT1,NAT2,NAT3,NAT4,NAT5,NAT6,PAT1,PAT2,PAT3,PAT4,PAT5,PAT6,PAT7,PAT8,PAT9,SDO1,SDO2,SDO3,SDO4,SDO5,SDO6,SDO7,SDO8,AUTH1,AUTH2,AUTH3,TRUMP,OFFIC_1,OFFIC_5,OFFIC_6,OFFIC_7,OFFIC_8,OFFIC_9,OFFIC_10,GEND,GEND_1,LIBCON,LEAN,PPP1,PPP1_4_TEXT,RSTRON,DSTRON,PLEAN,BORN,RACE,RACE_1,CITI,condition,MTurkCode,MemoryWords1,MemoryWords2
2/10/20 14:09,2/10/20 14:11,IP Address,00.000.0.00,12,129,FALSE,2/10/20 18:11,R_0000000000000000,,,,,0,0,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,0,12345678,"happy, good, bottle","apple, tree, fun"
2/10/20 14:28,2/10/20 14:28,IP Address,00.000.0.00,12,8,FALSE,2/10/20 18:29,R_0000000000000000,,,,,0,0,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,2,12345678,"apple, tree, happy","fun, good, bottle"
2/12/20 18:48,2/12/20 18:50,IP Address,00.000.0.00,100,131,TRUE,2/12/20 18:50,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disapprove,95,0,95,90,0,0,75,Male,,Very liberal,,Democrat,,,Strong Democrat,,1981,White or European American,,Yes,0,12345678,"happy,tree,fun","apple, good, bottle"
2/12/20 18:48,2/12/20 18:50,IP Address,00.000.0.00,100,142,TRUE,2/12/20 18:50,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat agree,Somewhat agree,Slightly disagree,Slightly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly disagree,Somewhat agree,Somewhat disagree,Slightly agree,Somewhat agree,Slightly disagree,Somewhat disagree,Strongly agree,Strongly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Somewhat disagree,Somewhat approve,22,72,17,29,55,53,36,Male,,Somewhat conservative,,Republican,,Not very strong Republican,,,1982,White or European American,,Yes,1,12345678,"happy, tree, bottle","apple, good , fun"
2/12/20 18:48,2/12/20 18:50,IP Address,00.000.0.00,100,133,TRUE,2/12/20 18:50,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disapprove,100,0,0,92,0,0,20,Male,,"Moderate, middle of the road",,Democrat,,,Not very strong Democrat,,1980,White or European American,,Yes,0,12345678,"apple, good, bottle","happy, tree, fun"
2/12/20 18:48,2/12/20 18:50,IP Address,00.000.0.00,100,105,TRUE,2/12/20 18:50,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Somewhat agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Somewhat disapprove,69,22,74,68,42,49,72,Female,,Somewhat liberal,,Democrat,,,Not very strong Democrat,,1997,White or European American,,Yes,2,12345678,"happy, good, bottle","apple, tree, fun"
2/12/20 18:48,2/12/20 18:50,IP Address,00.000.0.00,100,158,TRUE,2/12/20 18:50,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Slightly disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Somewhat agree,Slightly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Slightly approve,0,25,0,0,20,15,5,Female,,"Moderate, middle of the road",,Independent voter,,,,Republican Party,1985,White or European American,,Yes,2,12345678,"apple, tree, happy","fun, good, bottle"
2/12/20 18:48,2/12/20 18:51,IP Address,00.000.0.00,100,147,TRUE,2/12/20 18:51,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Somewhat agree,Strongly agree,Somewhat agree,Slightly agree,Strongly agree,Somewhat agree,Strongly agree,Slightly disagree,Somewhat agree,Somewhat agree,Strongly agree,Slightly disagree,Slightly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Slightly approve,0,95,0,0,20,90,0,Male,,Slightly conservative,,Republican,,Not very strong Republican,,,1994,"East Asian or Asian American,Hawaiian American or Pacific Islander",,Yes,0,12345678,"happy,tree,fun","apple, good, bottle"
2/12/20 18:48,2/12/20 18:51,IP Address,00.000.0.00,100,174,TRUE,2/12/20 18:51,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Slightly agree,Strongly disagree,Strongly disagree,Slightly disagree,Somewhat disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disapprove,90,0,75,60,0,0,25,Female,,Somewhat liberal,,Democrat,,,Strong Democrat,,1978,White or European American,,Yes,1,12345678,"happy, tree, bottle","apple, good , fun"
2/12/20 18:48,2/12/20 18:51,IP Address,00.000.0.00,100,188,TRUE,2/12/20 18:51,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disapprove,100,0,0,100,0,0,32,Female,,Very liberal,,Democrat,,,Strong Democrat,,1972,White or European American,,Yes,2,12345678,"apple, good, bottle","happy, tree, fun"
2/12/20 18:50,2/12/20 18:52,IP Address,00.000.0.00,100,94,TRUE,2/12/20 18:52,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disapprove,51,0,87,51,0,0,43,Female,,Very liberal,,Democrat,,,Strong Democrat,,1996,White or European American,,Yes,0,12345678,"happy, good, bottle","apple, tree, fun"
2/12/20 18:49,2/12/20 18:52,IP Address,00.000.0.00,100,164,TRUE,2/12/20 18:52,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Slightly agree,Strongly agree,Strongly disagree,Strongly disagree,Slightly disagree,Slightly agree,Strongly agree,Strongly agree,Somewhat agree,Slightly disagree,Slightly disagree,Slightly disagree,Somewhat agree,Strongly agree,Somewhat agree,Slightly agree,Slightly disagree,Strongly agree,Slightly disagree,Somewhat disagree,Slightly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat approve,79,75,95,97,63,61,80,Male,,Slightly liberal,,Independent voter,,,,Democratic Party,1990,"Black, Afro-Caribbean, or African American",,Yes,0,12345678,"apple, tree, happy","fun, good, bottle"
2/12/20 18:49,2/12/20 18:52,IP Address,00.000.0.00,100,210,TRUE,2/12/20 18:52,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Slightly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disapprove,100,0,100,33,0,6,18,Female,,Very liberal,,Democrat,,,Strong Democrat,,1972,White or European American,,Yes,1,12345678,"happy,tree,fun","apple, good, bottle"
2/12/20 18:48,2/12/20 18:52,IP Address,00.000.0.00,100,236,TRUE,2/12/20 18:52,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat approve,100,100,100,80,80,100,100,Female,,Somewhat conservative,,Republican,,Strong Republican,,,1976,White or European American,,Yes,1,12345678,"happy, tree, bottle","apple, good , fun"
2/12/20 18:50,2/12/20 18:52,IP Address,00.000.0.00,100,125,TRUE,2/12/20 18:52,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Slightly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Slightly disagree,Slightly disagree,Strongly disagree,Somewhat disapprove,30,20,55,30,30,30,29,Male,,Slightly liberal,,Democrat,,,Not very strong Democrat,,1992,White or European American,,Yes,1,12345678,"apple, good, bottle","happy, tree, fun"
2/12/20 18:49,2/12/20 18:53,IP Address,00.000.0.00,100,206,TRUE,2/12/20 18:53,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disapprove,86,0,75,79,0,5,71,Male,,Somewhat liberal,,Democrat,,,Strong Democrat,,1955,White or European American,,Yes,2,12345678,"happy, good, bottle","apple, tree, fun"
2/12/20 18:49,2/12/20 18:53,IP Address,00.000.0.00,100,195,TRUE,2/12/20 18:53,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither approve nor disapprove,50,50,50,50,50,50,50,Male,,Very liberal,,Independent voter,,,,Neither party,1993,White or European American,,Yes,1,12345678,"apple, tree, happy","fun, good, bottle"
2/12/20 18:48,2/12/20 18:53,IP Address,00.000.0.00,100,265,TRUE,2/12/20 18:53,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disapprove,85,0,85,55,0,0,50,Male,,Somewhat liberal,,Democrat,,,Strong Democrat,,1984,White or European American,,Yes,1,12345678,"happy,tree,fun","apple, good, bottle"
2/12/20 18:50,2/12/20 18:53,IP Address,00.000.0.00,100,138,TRUE,2/12/20 18:53,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disapprove,45,0,100,30,0,0,15,Male,,"Moderate, middle of the road",,Independent voter,,,,Democratic Party,1982,White or European American,,Yes,0,12345678,"happy, tree, bottle","apple, good , fun"
2/12/20 18:52,2/12/20 18:53,IP Address,00.000.0.00,100,66,TRUE,2/12/20 18:53,R_0000000000000000,,,,,0,0,anonymous,EN,Yes,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Slightly disagree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disapprove,81,75,72,56,76,83,72,Male,,Somewhat liberal,,Independent voter,,,,Democratic Party,,White or European American,,Yes,2,12345678,"apple, good, bottle","happy, tree, fun"
